Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,isMobile,timespentonsite_7days,pageviews_7days,sessions_7days,Loan_Status
LP001044,Male,Yes,0,Graduate,No,24000,0,75000,360,,Urban,1,42,12,5,Y
LP001045,Male,Yes,0,Graduate,No,39410,23360,134000,360,1,Semiurban,1,25,5,7,Y
LP001046,Male,Yes,0,Not Graduate,Yes,46950,0,96000,,1,Urban,0,47,14,6,Y
LP001047,Female,No,0,Graduate,No,34100,0,88000,,1,Urban,0,24,14,4,Y
LP001048,Male,Yes,1,Graduate,No,56490,0,44000,360,1,Urban,0,35,19,3,Y
LP001049,Male,Yes,0,Graduate,No,58210,0,144000,360,1,Urban,1,39,9,7,Y
LP001050,Female,Yes,0,Graduate,No,26450,34400,120000,360,0,Urban,0,40,14,5,N
LP001051,Female,No,0,Graduate,No,40000,22750,144000,360,1,Semiurban,1,39,15,7,Y
LP001052,Female,Yes,0,Not Graduate,No,19280,16440,100000,360,1,Semiurban,1,42,9,6,Y
LP001053,Female,No,0,Graduate,No,30860,0,120000,360,1,Semiurban,1,37,11,3,Y
LP001054,Female,No,0,Graduate,No,42300,0,112000,360,1,Semiurban,0,43,15,4,N
LP001055,Male,Yes,2,Graduate,No,46160,0,134000,360,1,Urban,0,19,15,6,N
LP001056,Female,Yes,1,Graduate,Yes,115000,0,286000,360,0,Urban,1,45,12,6,N
LP001057,Male,Yes,2,Graduate,No,27080,11670,97000,360,1,Semiurban,0,35,6,4,Y
LP001058,Male,Yes,0,Graduate,No,21320,15910,96000,360,1,Semiurban,0,38,7,3,Y
LP001059,Male,Yes,0,Graduate,No,33660,22000,135000,360,1,Rural,1,21,14,3,N
LP001060,Male,Yes,1,Graduate,No,80800,22500,180000,360,1,Urban,0,39,18,6,Y
LP001061,Male,Yes,2,Not Graduate,No,33570,28590,144000,360,1,Urban,0,25,17,6,Y
LP001062,Male,Yes,0,Graduate,No,25000,37960,120000,360,1,Urban,0,29,13,5,Y
LP001063,Male,Yes,3+,Graduate,No,30290,0,99000,360,1,Urban,1,44,9,7,Y
LP001064,Male,Yes,0,Not Graduate,Yes,26090,34490,165000,180,0,Rural,1,44,15,4,N
LP001065,Male,Yes,1,Graduate,No,49450,0,,360,0,Rural,0,18,10,2,N
LP001066,Female,No,0,Graduate,No,41660,0,116000,360,0,Semiurban,1,32,13,4,N
LP001067,Male,Yes,0,Graduate,No,57260,45950,258000,360,1,Semiurban,1,30,5,2,N
LP001068,Male,No,0,Not Graduate,No,32000,22540,126000,180,0,Urban,0,12,18,6,N
LP001069,Male,Yes,1,Graduate,No,107500,0,312000,360,1,Urban,1,34,10,3,Y
LP001070,Male,Yes,3+,Not Graduate,Yes,71000,0,125000,60,1,Urban,1,22,12,5,Y
LP001071,Female,No,0,Graduate,No,43000,0,136000,360,0,Semiurban,1,12,11,3,N
LP001072,Male,Yes,0,Graduate,No,32080,30660,172000,360,1,Urban,1,48,15,3,Y
LP001073,Male,Yes,2,Not Graduate,Yes,18750,18750,97000,360,1,Semiurban,1,50,13,6,Y
LP001074,Male,No,0,Graduate,No,35000,0,81000,300,1,Semiurban,0,36,10,5,Y
LP001075,Male,Yes,3+,Not Graduate,No,47550,0,95000,,0,Semiurban,0,13,3,6,N
LP001076,Male,Yes,3+,Graduate,Yes,52660,17740,187000,360,1,Semiurban,1,22,5,5,Y
LP001077,Male,No,0,Graduate,No,37500,0,113000,480,1,Urban,1,28,4,3,N
LP001078,Male,No,0,Graduate,No,37500,47500,176000,360,1,Urban,0,31,5,5,N
LP001079,Male,Yes,1,Graduate,Yes,10000,30220,110000,360,1,Urban,0,21,17,2,N
LP001080,Male,Yes,3+,Graduate,No,31670,40000,180000,300,0,Semiurban,0,31,12,2,N
LP001081,Male,Yes,3+,Not Graduate,Yes,33330,21660,130000,360,,Semiurban,1,20,9,6,Y
LP001082,Female,No,0,Graduate,No,38460,0,111000,360,1,Semiurban,0,40,14,5,Y
LP001083,Male,Yes,1,Graduate,Yes,23950,0,,360,1,Semiurban,0,43,14,5,Y
LP001084,Female,Yes,2,Graduate,No,13780,18810,167000,360,1,Urban,1,12,3,2,N
LP001085,Male,Yes,0,Graduate,No,60000,22500,265000,360,,Semiurban,0,10,16,6,N
LP001086,Male,Yes,1,Graduate,No,39880,0,50000,240,1,Urban,0,22,8,6,Y
LP001087,Male,No,0,Graduate,No,23660,25310,136000,360,1,Semiurban,0,46,12,5,Y
LP001088,Male,Yes,2,Not Graduate,No,33330,20000,99000,360,,Semiurban,1,49,9,4,Y
LP001089,Male,Yes,0,Graduate,No,25000,21180,104000,360,1,Semiurban,1,41,10,6,Y
LP001090,Male,No,0,Graduate,No,85660,0,210000,360,1,Urban,0,39,14,4,Y
LP001091,Male,Yes,0,Graduate,No,56950,41670,175000,360,1,Semiurban,1,38,11,3,Y
LP001092,Male,Yes,0,Graduate,No,29580,29000,131000,360,1,Semiurban,0,44,6,5,Y
LP001093,Male,Yes,2,Graduate,No,62500,56540,188000,180,1,Semiurban,0,37,15,3,Y
LP001094,Male,Yes,2,Not Graduate,No,32730,18200,81000,360,1,Urban,0,30,6,6,Y
LP001095,Male,No,0,Graduate,No,41330,0,122000,360,1,Semiurban,1,29,8,7,Y
LP001096,Male,No,0,Not Graduate,No,36200,0,25000,120,1,Semiurban,0,28,10,7,Y
LP001097,Male,No,0,Graduate,,67820,0,,360,,Urban,0,21,11,2,N
LP001098,Female,Yes,0,Graduate,No,24840,23020,137000,360,1,Semiurban,0,50,14,4,Y
LP001099,Male,Yes,0,Graduate,No,19770,9970,50000,360,1,Semiurban,1,49,9,4,Y
LP001100,Male,Yes,0,Not Graduate,No,41880,0,115000,180,1,Semiurban,1,34,8,3,Y
LP001101,Male,Yes,0,Graduate,No,17590,35410,131000,360,1,Semiurban,1,46,9,4,Y
LP001102,Male,Yes,2,Not Graduate,No,42880,32630,133000,180,1,Urban,0,33,14,4,Y
LP001103,Male,No,0,Graduate,No,48430,38060,151000,360,1,Semiurban,1,33,19,5,Y
LP001104,Male,Yes,,Graduate,No,136500,0,,360,1,Urban,1,32,14,5,Y
LP001105,Male,Yes,0,Graduate,No,46520,35830,,360,1,Semiurban,1,48,6,5,Y
LP001106,Male,,,Graduate,No,38160,7540,160000,360,1,Urban,0,21,8,4,Y
LP001107,Male,Yes,1,Graduate,No,30520,10300,100000,360,1,Urban,0,27,5,7,Y
LP001108,Male,Yes,2,Graduate,No,114170,11260,225000,360,1,Urban,1,47,9,3,Y
LP001109,Male,No,0,Not Graduate,,73330,0,120000,360,1,Rural,0,11,11,3,N
LP001110,Male,Yes,2,Graduate,No,38000,36000,216000,360,0,Urban,0,41,17,4,N
LP001111,Male,Yes,3+,Not Graduate,No,20710,7540,94000,480,1,Semiurban,1,42,8,3,Y
LP001112,Male,No,0,Graduate,No,53160,0,136000,360,1,Urban,1,28,14,5,Y
LP001113,Female,Yes,0,Graduate,,29290,23330,139000,360,1,Semiurban,1,33,12,7,Y
LP001114,Male,Yes,0,Not Graduate,No,35720,41140,152000,,0,Rural,0,33,10,2,N
LP001115,Female,No,1,Graduate,Yes,74510,0,,360,1,Semiurban,0,33,7,3,Y
LP001116,Male,No,0,Graduate,,50500,0,118000,360,1,Semiurban,1,42,17,6,Y
LP001117,Male,Yes,1,Graduate,No,145830,0,185000,180,1,Rural,0,48,13,6,Y
LP001118,Female,Yes,0,Graduate,No,31670,22830,154000,360,1,Semiurban,0,24,7,6,Y
LP001119,Male,Yes,1,Graduate,No,22140,13980,85000,360,,Urban,1,29,9,5,Y
LP001120,Male,Yes,0,Graduate,No,55680,21420,175000,360,1,Rural,0,35,11,4,N
LP001121,Female,No,0,Graduate,No,104080,0,259000,360,1,Urban,0,34,7,4,Y
LP001122,Male,Yes,,Graduate,No,56670,26670,180000,360,1,Rural,0,22,12,7,Y
LP001123,Female,No,0,Graduate,No,41660,0,44000,360,1,Semiurban,0,22,18,3,Y
LP001124,Female,No,0,Graduate,No,21370,89800,137000,360,0,Semiurban,1,50,18,4,Y
LP001125,Male,Yes,2,Graduate,No,29570,0,81000,360,1,Semiurban,0,42,18,3,Y
LP001126,Male,Yes,0,Not Graduate,No,43000,20140,194000,360,1,Rural,0,32,7,4,Y
LP001127,Female,No,0,Graduate,No,36920,0,93000,360,,Rural,0,40,18,7,Y
LP001128,,Yes,3+,Graduate,No,238030,0,370000,360,1,Rural,0,37,19,7,Y
LP001129,Male,No,0,Graduate,No,38650,16400,,360,1,Rural,1,26,6,7,Y
LP001130,Male,Yes,1,Graduate,Yes,105130,38500,160000,180,0,Urban,1,14,16,5,N
LP001131,Male,Yes,0,Graduate,No,60800,25690,182000,360,,Rural,0,15,16,5,N
LP001132,Male,No,0,Graduate,Yes,201660,0,650000,480,,Urban,1,43,6,4,Y
LP001133,Male,No,0,Graduate,No,20140,19290,74000,360,1,Urban,1,48,16,4,Y
LP001134,Male,No,0,Graduate,No,27180,0,70000,360,1,Semiurban,1,23,7,4,Y
LP001135,Male,Yes,0,Graduate,Yes,34590,0,25000,120,1,Semiurban,1,22,19,5,Y
LP001136,Male,No,0,Graduate,No,48950,0,102000,360,1,Semiurban,0,38,19,4,Y
LP001137,Male,Yes,3+,Graduate,No,40000,77500,290000,360,1,Semiurban,0,28,7,6,N
LP001138,Female,Yes,0,Graduate,No,45830,0,84000,360,1,Rural,1,43,11,5,N
LP001139,Male,Yes,2,Graduate,Yes,33160,35000,88000,360,1,Urban,1,35,5,3,Y
LP001140,Male,No,0,Graduate,No,149990,0,242000,360,0,Semiurban,0,43,15,5,N
LP001141,Male,Yes,2,Not Graduate,No,42000,14300,129000,360,1,Rural,1,23,13,6,N
LP001142,Male,Yes,2,Graduate,No,50420,20830,185000,360,1,Rural,1,44,9,4,N
LP001143,Male,No,0,Graduate,No,54170,0,168000,360,1,Urban,0,36,11,3,Y
LP001144,Male,No,0,Graduate,Yes,69500,0,175000,180,1,Semiurban,0,40,6,6,Y
LP001145,Male,Yes,0,Graduate,No,26980,20340,122000,360,1,Semiurban,1,33,14,6,Y
LP001146,Male,Yes,2,Graduate,No,117570,0,187000,180,1,Urban,0,47,17,3,Y
LP001147,Female,Yes,0,Graduate,No,23300,44860,100000,360,1,Semiurban,0,39,20,5,Y
LP001148,Female,Yes,2,Graduate,No,148660,0,70000,360,1,Urban,0,34,8,5,Y
LP001149,Male,Yes,1,Graduate,No,15380,14250,30000,360,1,Urban,0,32,10,4,Y
LP001150,Female,No,0,Graduate,No,100000,16660,225000,360,1,Rural,1,25,14,6,N
LP001151,Male,Yes,0,Graduate,No,48600,8300,125000,360,1,Semiurban,0,24,19,7,Y
LP001152,Male,No,0,Graduate,No,62770,0,118000,360,0,Rural,1,43,7,4,N
LP001153,Male,Yes,0,Graduate,Yes,25770,37500,152000,360,1,Rural,1,31,12,5,Y
LP001154,Male,No,0,Graduate,No,91660,0,244000,360,1,Urban,1,39,11,3,N
LP001155,Male,Yes,2,Not Graduate,No,22810,0,113000,360,1,Rural,1,37,10,2,N
LP001156,Male,No,0,Graduate,No,32540,0,50000,360,1,Urban,0,43,14,6,Y
LP001157,Male,Yes,3+,Graduate,No,399990,0,600000,180,0,Semiurban,1,22,18,5,Y
LP001158,Male,Yes,1,Graduate,No,60000,0,160000,360,,Rural,0,39,9,7,Y
LP001159,Male,Yes,1,Graduate,No,95380,0,187000,360,1,Urban,0,27,16,7,Y
LP001160,Male,No,0,Graduate,,29800,20830,120000,360,1,Rural,0,21,14,5,Y
LP001161,Male,Yes,0,Graduate,No,45830,56250,255000,360,1,Semiurban,1,33,15,3,Y
LP001162,Male,Yes,0,Not Graduate,No,18630,10410,98000,360,1,Semiurban,1,38,13,5,Y
LP001163,Male,Yes,0,Graduate,No,79330,0,275000,360,1,Urban,0,41,3,5,N
LP001164,Male,Yes,1,Graduate,No,30890,12800,121000,360,0,Semiurban,1,36,11,6,N
LP001165,Male,Yes,2,Graduate,No,41670,14470,158000,360,1,Rural,1,36,9,6,Y
LP001166,Male,Yes,0,Graduate,No,93230,0,75000,180,1,Urban,0,23,8,4,Y
LP001167,Male,Yes,0,Graduate,No,37070,31660,182000,,1,Rural,0,29,12,3,Y
LP001168,Female,Yes,0,Graduate,No,45830,0,112000,360,1,Rural,1,15,10,6,N
LP001169,Male,Yes,0,Graduate,No,24390,33330,129000,360,1,Rural,0,41,6,6,Y
LP001170,Male,No,0,Graduate,No,22370,0,63000,480,0,Semiurban,0,33,14,5,N
LP001171,Male,Yes,2,Graduate,No,80000,0,200000,360,1,Semiurban,0,22,11,7,Y
LP001172,Male,Yes,0,Not Graduate,,18200,17690,95000,360,1,Rural,0,28,9,4,Y
LP001173,,Yes,3+,Graduate,No,517630,0,700000,300,1,Urban,0,42,18,3,Y
LP001174,Male,Yes,3+,Not Graduate,No,35220,0,81000,180,1,Rural,0,45,16,2,N
LP001175,Male,Yes,0,Graduate,No,57080,56250,187000,360,1,Semiurban,1,32,5,6,Y
LP001176,Male,Yes,0,Not Graduate,Yes,43440,7360,87000,360,1,Semiurban,1,27,3,5,N
LP001177,Male,Yes,0,Graduate,No,34970,19640,116000,360,1,Rural,0,33,5,7,Y
LP001178,Male,Yes,2,Graduate,No,20450,16190,101000,360,1,Rural,0,42,15,4,Y
LP001179,Male,Yes,3+,Graduate,No,55160,113000,495000,360,0,Semiurban,0,20,7,4,N
LP001180,Male,Yes,1,Graduate,No,37500,0,116000,360,1,Semiurban,0,22,16,4,Y
LP001181,Male,No,0,Not Graduate,No,23330,14510,102000,480,0,Urban,1,18,11,3,N
LP001182,Male,Yes,1,Graduate,No,64000,72500,180000,360,0,Urban,0,39,12,6,N
LP001183,Male,No,0,Graduate,No,19160,50630,67000,360,,Rural,0,12,15,4,N
LP001184,Male,Yes,0,Graduate,No,46000,0,73000,180,1,Semiurban,1,41,7,4,Y
LP001185,Male,Yes,1,Graduate,No,338460,0,260000,360,1,Semiurban,1,27,14,6,N
LP001186,Female,Yes,0,Graduate,No,36250,0,108000,360,1,Semiurban,0,20,18,4,Y
LP001187,Male,Yes,0,Graduate,Yes,391470,47500,120000,360,1,Semiurban,1,37,14,5,Y
LP001188,Male,Yes,1,Graduate,Yes,21780,0,66000,300,0,Rural,1,41,7,6,N
LP001189,Male,Yes,0,Graduate,No,23830,21380,58000,360,,Rural,0,34,11,4,Y
LP001190,,Yes,0,Graduate,Yes,6740,52960,168000,360,1,Rural,0,25,7,6,Y
LP001191,Male,Yes,0,Graduate,No,93280,0,188000,180,1,Rural,1,47,14,5,Y
LP001192,Male,No,0,Not Graduate,No,48850,0,48000,360,1,Rural,1,37,10,4,Y
LP001193,Male,No,0,Graduate,No,120000,0,164000,360,1,Semiurban,1,19,13,6,N
LP001194,Male,Yes,0,Not Graduate,No,60330,0,160000,360,1,Urban,1,21,5,2,N
LP001195,Male,No,0,Graduate,No,38580,0,76000,360,1,Semiurban,0,23,17,4,Y
LP001196,Male,No,0,Graduate,No,41910,0,120000,360,1,Rural,1,46,14,7,Y
LP001197,Male,Yes,1,Graduate,No,31250,25830,170000,360,1,Semiurban,0,17,7,3,N
LP001198,Male,No,0,Graduate,No,83330,37500,187000,360,1,Rural,1,32,10,3,Y
LP001199,Female,No,0,Not Graduate,No,19070,23650,120000,,1,Urban,1,24,20,7,Y
LP001200,Female,Yes,0,Graduate,No,34160,28160,113000,360,,Semiurban,0,41,11,7,Y
LP001201,Male,No,0,Graduate,Yes,110000,0,83000,360,1,Urban,0,31,8,2,N
LP001202,Male,Yes,1,Not Graduate,No,26000,25000,90000,360,1,Semiurban,0,32,15,3,Y
LP001203,Male,No,2,Graduate,No,49230,0,166000,360,0,Semiurban,0,40,5,7,Y
LP001204,Male,Yes,3+,Not Graduate,No,39920,0,,180,1,Urban,1,32,16,4,N
LP001205,Male,Yes,1,Not Graduate,No,35000,10830,135000,360,1,Urban,0,29,13,7,Y
LP001206,Male,Yes,2,Not Graduate,No,39170,0,124000,360,1,Semiurban,0,35,18,7,Y
LP001207,Female,No,0,Not Graduate,No,44080,0,120000,360,1,Semiurban,0,44,20,5,Y
LP001208,Female,No,0,Graduate,No,32440,0,80000,360,1,Urban,0,48,19,6,Y
LP001209,Male,No,0,Not Graduate,No,39750,25310,55000,360,1,Rural,0,33,17,7,Y
LP001210,Male,No,0,Graduate,No,24790,0,59000,360,1,Urban,0,20,14,4,Y
LP001211,Male,No,0,Graduate,No,34180,0,127000,360,1,Semiurban,1,38,4,4,N
LP001212,Female,No,0,Graduate,No,100000,0,214000,360,1,Semiurban,1,32,16,3,N
LP001213,Male,Yes,3+,Graduate,No,34300,12500,128000,360,0,Semiurban,0,24,12,4,N
LP001214,Male,Yes,1,Graduate,Yes,77870,0,240000,360,1,Urban,1,22,14,3,Y
LP001215,Male,Yes,3+,Not Graduate,Yes,57030,0,130000,360,1,Rural,1,46,11,7,Y
LP001216,Male,Yes,0,Graduate,No,31730,30210,137000,360,1,Urban,0,40,18,5,Y
LP001217,Male,Yes,3+,Not Graduate,No,38500,9830,100000,360,1,Semiurban,1,21,6,7,Y
LP001218,Male,Yes,0,Graduate,No,1500,18000,135000,360,1,Rural,0,32,5,6,N
LP001219,Male,Yes,0,Graduate,No,37270,17750,131000,360,1,Semiurban,0,42,14,3,Y
LP001220,Male,Yes,2,Graduate,,50000,0,72000,360,0,Semiurban,1,33,13,4,N
LP001221,Female,Yes,2,Graduate,No,42830,23830,127000,360,,Semiurban,0,39,20,6,Y
LP001222,Male,Yes,0,Graduate,No,22210,0,60000,360,0,Urban,1,17,4,6,N
LP001223,Male,Yes,2,Graduate,No,40090,17170,116000,360,1,Semiurban,0,40,16,3,Y
LP001224,Male,No,0,Graduate,No,29710,27910,144000,360,1,Semiurban,0,22,7,5,Y
LP001225,Male,Yes,0,Graduate,No,75780,10100,175000,,1,Semiurban,0,49,12,7,Y
LP001226,Male,Yes,0,Graduate,No,62500,0,128000,360,1,Semiurban,0,48,11,5,Y
LP001227,Male,Yes,0,Graduate,No,32500,0,170000,360,1,Rural,1,15,18,4,N
LP001228,Male,Yes,,Not Graduate,Yes,47350,0,138000,360,1,Urban,0,36,12,4,N
LP001229,Male,Yes,2,Graduate,No,62500,16950,210000,360,1,Semiurban,0,36,5,6,Y
LP001230,Male,,,Graduate,No,47580,0,158000,480,1,Semiurban,0,46,15,7,Y
LP001231,Male,No,0,Graduate,Yes,64000,0,200000,360,1,Rural,0,33,15,4,Y
LP001232,Male,Yes,1,Graduate,No,24910,20540,104000,360,1,Semiurban,1,48,16,5,Y
LP001233,Male,Yes,0,Graduate,,37160,0,42000,180,1,Rural,1,44,16,7,Y
LP001234,Male,No,0,Not Graduate,No,31890,25980,120000,,1,Rural,0,44,12,7,Y
LP001235,Female,No,0,Graduate,No,83330,0,280000,360,1,Semiurban,0,38,6,5,Y
LP001236,Male,Yes,1,Graduate,No,31550,17790,140000,360,1,Semiurban,0,50,12,7,Y
LP001237,Male,Yes,1,Graduate,No,55000,12600,170000,360,1,Rural,1,45,16,7,Y
LP001238,Male,Yes,0,Graduate,,57460,0,255000,360,,Urban,1,12,6,4,N
LP001239,Female,No,0,Graduate,Yes,34630,0,122000,360,,Urban,1,21,10,7,Y
LP001240,Female,No,1,Graduate,No,38120,0,112000,360,1,Rural,1,37,11,7,Y
LP001241,Male,Yes,1,Graduate,No,33150,0,96000,360,1,Semiurban,1,34,6,6,Y
LP001242,Male,Yes,2,Graduate,No,58190,50000,120000,360,1,Rural,1,34,5,5,Y
LP001243,Male,Yes,1,Not Graduate,No,25100,19830,140000,180,1,Urban,0,12,3,4,N
LP001244,Male,No,0,Graduate,No,29650,57010,155000,60,1,Urban,0,34,15,4,Y
LP001245,Male,Yes,2,Graduate,Yes,62500,13000,108000,360,1,Rural,1,42,6,5,Y
LP001246,Male,Yes,0,Not Graduate,No,34060,44170,123000,360,1,Semiurban,0,45,11,7,Y
LP001247,Male,No,0,Graduate,Yes,60500,43330,120000,180,1,Urban,0,34,15,2,N
LP001248,Male,Yes,2,Graduate,No,97030,0,112000,360,1,Urban,0,45,19,5,Y
LP001249,Male,Yes,1,Not Graduate,No,66080,0,137000,180,1,Urban,1,28,14,3,Y
LP001250,Male,Yes,1,Graduate,No,28820,18430,123000,480,1,Semiurban,0,23,14,3,Y
LP001251,Male,Yes,0,Graduate,No,18090,18680,90000,360,1,Urban,0,43,13,5,Y
LP001252,Male,Yes,0,Not Graduate,No,16680,38900,201000,360,0,Semiurban,0,36,15,2,N
LP001253,Female,No,2,Graduate,No,34270,0,138000,360,1,Urban,0,21,3,2,N
LP001254,Male,No,0,Not Graduate,Yes,25830,21670,104000,360,1,Rural,0,21,10,4,Y
LP001255,Male,Yes,1,Not Graduate,No,26610,71010,279000,180,1,Semiurban,1,24,20,3,Y
LP001256,Male,No,0,Graduate,Yes,162500,0,192000,360,0,Urban,1,27,12,6,N
LP001257,Female,No,3+,Graduate,No,30830,0,255000,360,1,Rural,0,35,5,6,Y
LP001258,Male,No,0,Not Graduate,No,60450,0,115000,360,0,Rural,1,44,4,4,N
LP001259,Male,Yes,3+,Graduate,No,52500,0,94000,360,1,Urban,1,20,9,3,N
LP001260,Male,Yes,0,Graduate,No,146830,21000,304000,360,1,Rural,0,21,5,6,N
LP001261,Male,Yes,3+,Not Graduate,No,49310,0,128000,360,,Semiurban,0,11,4,5,N
LP001262,Male,Yes,1,Graduate,No,60830,42500,330000,360,,Urban,1,43,6,5,Y
LP001263,Male,No,0,Graduate,No,20600,22090,134000,360,1,Semiurban,1,22,13,3,Y
LP001264,Female,No,1,Graduate,No,34810,0,155000,36,1,Semiurban,0,30,16,6,N
LP001265,Female,No,0,Graduate,No,72000,0,120000,360,1,Rural,0,22,8,6,Y
LP001266,Male,No,0,Graduate,Yes,51660,0,128000,360,1,Semiurban,0,43,19,5,Y
LP001267,Male,No,0,Graduate,No,40950,34470,151000,360,1,Rural,1,45,7,7,Y
LP001268,Male,Yes,2,Graduate,No,47080,13870,150000,360,1,Semiurban,1,35,12,5,Y
LP001269,Male,Yes,3+,Graduate,No,43330,18110,160000,360,0,Urban,1,22,11,3,Y
LP001270,Female,No,0,Graduate,,34180,0,135000,360,1,Rural,1,11,18,4,N
LP001271,Female,No,1,Graduate,No,28760,15600,90000,360,1,Urban,0,45,14,5,Y
LP001272,Female,No,0,Graduate,No,32370,0,30000,360,1,Urban,0,32,12,3,Y
LP001273,Male,Yes,0,Graduate,No,111460,0,136000,360,1,Urban,1,37,17,4,Y
LP001274,Male,No,0,Graduate,No,28330,18570,126000,360,1,Rural,0,22,7,7,Y
LP001275,Male,Yes,0,Graduate,No,26200,22230,150000,360,1,Semiurban,0,26,10,5,Y
LP001276,Male,Yes,2,Graduate,No,39000,0,90000,360,1,Semiurban,0,26,12,7,Y
LP001277,Male,Yes,1,Graduate,No,27500,18420,115000,360,1,Semiurban,1,31,14,7,Y
LP001278,Male,Yes,0,Graduate,No,39930,32740,207000,360,1,Semiurban,1,48,15,7,Y
LP001279,Male,Yes,0,Graduate,No,31030,13000,80000,360,1,Urban,1,31,10,5,Y
LP001280,Male,Yes,0,Graduate,No,145830,0,436000,360,1,Semiurban,0,30,12,3,Y
LP001281,Female,Yes,0,Not Graduate,No,41000,0,124000,360,,Rural,0,31,7,7,Y
LP001282,Male,No,1,Not Graduate,Yes,40530,24260,158000,360,0,Urban,1,12,9,4,N
LP001283,Male,Yes,0,Graduate,No,39270,8000,112000,360,1,Semiurban,0,48,12,5,Y
